0,English (United States),Chinese (Traditional),Chinese (Simplified),Japanese,French,Italian,German,Spanish,Korean,Thai,indonesian,Portuguese (Brazil),Russian,Vietnamese,Polish,Turkish
nilou,Niloo,水舞者,水舞者,踊り子,Nylon,Nylon,Niloo,Shakira,빨간머리 앤,ต้าวหางเครื่อง,Niluh Perssik,Niloo,Нилуу,Milô,Niloo,Nilülü
ningguang,Richlady,富一代,富一代,富裕層女子,La Grande Merguez,Ricca possidente,Reich,Ms.Beast,군옥각 파이터,หนวดกุ้ง,Ningsih,garota rica,РичБич,Người giàu,Richlady,Ningguang Ilıcalı
noelle,Battle Maid,戰鬥女僕,战斗女仆,戦闘メイド,Joyeux Noelle,Maid da battaglia,Kampfmädchen,Nuezlle,배틀 메이드,เมดสาวพราวเสน่ห์,Nur,empregada de batalha ,Боевая Горничная,Trực thăng,Battle Maid,Mutlu Noeller
okweapon,OK Weapon,一般武器,一般武器,OK武器,Arme plutôt pas mal,Arma passabile,Okay Waffe,Arma maso,쓸만한 무기,อาวุธงั้น ๆ,Senjata Biasa Saja,arma ok,НОРМ Оружие,Kiếm tàm tạm,OK Weapon,İyi Silah
poop,Poop,廢物,废物,廃棄物,Caca,Cacca,Kacke,Caquita,똥,เกลือ,ampas,Desperdício,Какаха,Rác,Poop,Bok
qiqi,Dead Kid,磨磨唧唧,磨磨唧唧,柔軟なキョンシー,RIP,Zombie,Totes Kind,Niña tiesa,호두 알러지,เด็กเชี่ย,Dahlah,criança morta,Мертвое Дитя,Đã tạch,Niszczyciel Pity,Zombi
raiden,Raisin,一刀必死,一刀必死,一刀切り,Raisin,Regina Cattiva,Rosine,No puedo cocinar,히키코모리,เทพไม่ทำอาหาร,Kanjeng Mami,ravena elctra,Изюм,Ei?,Shogun,Radyan
razor,Wolfboy,狼孩,狼孩,狼少年,Razoir,Lupo Lucio,Wolfsjunge,Lobito adoptado,타잔,มีดโกน,Jiiiikaaaa,garoto lobo,Волчок,Dao cạo,Wolfboy,Bozkurt 
rosaria,Weird Nun,修女,修女,シスター,Nonne Cheloue,Suora Inquietante,Nonne,Gótica ,야행성 수녀,แม่ชีบาป,Kak Ros,freira que nao dorme,Монахиня,Nữ tu (?),Weird Nun,Rahibırr
sara,Simp,烏鴉,乌鸦,一途な天狗,Simp,Simp,Simp,Simparda,쿠죠치킨,สลิ่ม,Pembantu Kanjeng Mami,pateta,Симп,Simp lỏ,Simp,Karga
sayu,Sayunara,滚的快,滚的快,ころころ,Sayunara,Sayunara,Sayunara,Niña Sonic,사유나라,กลิ้งขลุก ๆ,Sayur,Sayunara,Саянара,Lăn,Sayunara,Ninja Velet
shenhe,Cool Auntie,酷小姨,酷小姨,仙人の弟子,Super Nanny,Zia Ganza,Coole Tante,Tía buena onda,고려신학대학원,น้าไอติม,Seibaa,arma legal,Крутая Тётя,Tâm hồn,Cool Auntie,Teyzenhe
sucrose,Sugar,糖,糖,C12H22O11,Sucre,Zucchero (non il cantante),Zucker,Sacamesta,각설탕,น้องน้ำตาล,Sukro,açucar verde,Сахар,Đường,Sacharoza,Şeker
tartaglia,Tagliatelle,花花公子,花花公子,おもちゃの販売員,Tartagliatelle,Tagliatelle,Tagliatelle,El tartas,빛의 가호,หมาส้ม,Tatang Offside,tangirina com mascara,Тарталетка,Chill dẻ,Tortilla,Terminatörlia
thoma,Male Waifu,家庭主夫,家庭主夫,家政夫,Le Train,Ragazzo Waifu,Hausmann,Tomás ,가사도우미,พ่อบ้าน,Amhot,thoma uma,Тома,Hầu trai,Tomasz,İç Güveysi 
tighnari,Big Ears,大耳朵,大耳朵,オオミミギツネ,Grandes Oreilles,Volpetto,Große Ohren,Orejón ,초식 여우,หูเบิ้ม ๆ,Ari,olhos grandes,Ушастик,Tai to,Big Ears,Torbacı 
venti,Barsibato,賣唱的,卖唱的,吟遊詩人,Barsibato,Barsibato,Barsibato,Bardo de pacotilla,음주시인,เทพขี้เมา,Barsibakso Malang,barbudo,Бард Люблюпиво,Barbatos?,Barsibato,Berbatos
wanderer,Scaradook,態度惡劣,态度恶劣,名前よく変える者,Scaramoucheron,Bohemian Rhapsodyst,Fandango,Escarabajo,비행금쪽이,ละมุด,Agus,Scaramosca,Скарамучача,Môi chề,Scaramusz,Kuklamouche
xiangling,Cooking Girl,廚子,厨子,料理家,KOUIZINE,La Cuoca,Köchin,Vendedora de tacos,식자재,เชฟหมี,Cewe Koki,garota cozinheira,Повариха,Siêu đầu bếp,Cooking Girl,Masterşef
xiao,Pogoman,假面骑士,假面骑士,仮面ライダー,Pogoman,Tigro,Pogomann,Chaneque ,문신멸치남,ยักษ์เตี้ย,Jangkrik,xiranhao ,Покостик Пацан,Lùn,Pogoman,Zıp zıp
xingqiu,Waterboy,水男孩,水男孩,人気小説家,Mec d'Eau,Figlio di papà,Wasserjunge,Poeta,침옥선생,นายน้อย,Paha Indah,garoto de agua,Кусок воды,Thiếu gia,Waterboy,Fışkiye
xinyan,Rocker Chick,搖滾小妞,摇滚小妞,ロック少女,XinYEAAAAAAAAAH,Rocker Lady,Rockerin,La morenaza,구라구라꽃,แม่สาวชาวร็อค,Rocker juga manusia,garota do rock ,Рокерша,Cháy đàn,Rocker Chick,Rakçı Serpil
yae,Yay,粉色狐狸,粉色狐狸,ピンクの仙狐,Yay,Yeah,Yay,La Fanfics,야해 미코,เจ้แย้,Uye,Yay,Йей,Yay,Yay,Yey 
yanfei,Lawyer,律師,律师,法律家,Avocat,Avvocatessa,Anwalt,María Polo,법학박사,ทนาย,Pengacara,advogada,Адвокатка,Sáu người tốt,Lawyer,Yasa
yaoyao,Bell Head,鈴鐺頭,铃铛头,ベルヘッド,Tête de cloche,Testa a campana,Glockenkopf,Campanita,무yao,หัวไช้ท้าว,Yongki,cabeça de sino,Бубенчикоголовая,Người Thỏ,Bell Head,Pancar Kafa
yelan,Lady Sonic,收,收,糸絡みが得意,OSS 117,Posa da modella,Achselhöhle,Doña Apuestas,여행추,เจ้แร้,Ikelan Reksonah,rica humilhadora,Леди Соник,Dì Lan,Lady Sonic,"Ye, lan!"
yoimiya,Pewpew,金魚來了,金鱼来了,お祭り女,Piou Piou,Pew-pew,Piupiu,Yoisilla,금붕어,ปืนกล,Yolanda Mercon,Pewpew,Пиупиу,Yoi,Pewpew,Taramalı Tüfek
yunjin,Opera,先生,先生,看板役者,La Castafiore,Cantante Lirica,Oper,Rompevidrios,Yee,นางงิ้ว,Yuni Jelita,Opera,Опера,Opera,Opera,Opera
zhongli,John Lee,石头大男人,石头大男人,ツケ払いイケメン,John Lee,John Lee,John Lee,Viejo sabroso,돌킹킹킹,เทพยาจก,Zulkifli,homem das rochas,Джон Ли,John Lê,Żonkil,Züğürt
kirara,Box Cat,盒子貓,盒子猫,シュレディンガーの猫,Le chat de Schrödinger,Il gatto di Schrödinger,Box-Katze,El gato de Schrödinger,슈뢰딩거의 고양이,กล่องใส่แมว,Koceng kerdus,Gato de Schrodinger,Кот Шрёдингера,Mều,Box Cat,Box Cat
kaveh,Kevin,开开,开开,ケビン,Kévin,Kevin,Kevin,Kevin,중국집 배달부,เอวบาง ๆ,Kepin Arsitek,Kevin,Кевин,Ca ve,Kawa,Kevin
lyney,Magical Grrl,魔法少女,魔法少女,魔法少女,Fille magique,Ragazza magica,Magisches Mädchen,Chica mágica,마법소녀,สาวน้อยเวทมนตร์,Tarno Junior,Menina mágica,Магическая девчуля,Mồn Lèo anh,Magical Grrl,Magical Grrl
lynette,Deadpan Catgirl,無表情貓女,无表情猫女,無表情な猫娘,Catgirl impassible,Catgirl impassibile,Deadpan Catgirl,Gatita inexpresiva,퍼리넷,เดดแพน แคทเกิร์ล,Tarni Asisten,Catgirl impassível,Невозмутимая девушка-кошка,Mồn Lèo em,Deadpan Catgirl,Deadpan Catgirl
freminet,Scuba,潛水員,潜水员,スキューバ,Scaphandre autonome,Immersione,Tauchen,Escafandra autónoma,해녀,สกูบา,Firman,Mergulho,Скуба,Hướng Nội,Scuba,Scuba
neuvillette,Judge Hydropump,水力幫浦法官,水力泵法官,ジャッジハイドロポンプ,Juge Hydropump,Giudice Idropompa,Richter Hydropump,Juez Hydropump,느비요뜨,ผู้พิพากษาไฮโดรปั๊ม,Nopal,Juiz Hidrobomba,Судья Гидронасос,Anh Thủy Long,Judge Hydropump,Judge Hydropump
wriothesley,Ice Punchy Wolfman,冰拳狼哥,冰拳狼哥,氷拳狼兄貴,Punch Glacé,Incisivo Sul Ghiaccio,Eisig,Hielo con garra,냥냥펀치,หมัดน้ำแข็ง,Roesli,Ponche de Gelo,Ледяной удар,Anh Xây Cầu,Ice Punchy Wolfman,Ice Punchy Wolfman
furina,Brat,不像神的小子,不像神的小子,神に似ていない少年,Morveuse,Mocciosa,Gör,Niña Sucia,배관공,เด็กเลวทราม,Kobokan Air,Garoto Arrogante,Сопливый ребенок,Thần đằng,Brat,Brat
charlotte,Lawyer Clone,律師複製,律师克隆,弁護士クローン,Clone d'Avocat,Clone dell'avvocato,Anwaltsklon,Clon de Abogado,기레기,ทนายโคลน,Wartawan,Clone de Advogado,Адвокат Клон,Chị Ngok,Lawyer Clone,Lawyer Clone
navia,Crybaby,大哭小姐,大哭小姐,泣いているミス,Pleurnichard,Piagnucolona,Heulsuse,Llorona,나비야,ร้องไห้ออกมาเถอะที่รัก,Nabila Sewift,Chora bebê,Капризный ребенок,Thúy Loan,Beksa,Ağla Bebek
clorinde,Strongest Button,最强的纽扣,最强的纽扣,最強のボタン,Bouton le Plus Fort,Pulsante più Potente,Stärkster Knopf,Botón más Fuerte,가장 강한 버튼,ปุ่มที่แข็งแกร่งที่สุด,Cl,Botão mais Forte,Самая сильная кнопка,Nút mạnh nhất,Najsilniejszy Przycisk,En Güçlü Düğme
chevreuse,Muskateer,火槍手,火枪手,銃士,Mousquetaire,Moschettiere,Musketier,Mosquetero,총병,ทหารเสือ,Ciprut,Mosqueteiro,Мушкетер,lính ngự lâm,Muszkieter,Silahşör
skirk,Whale Tosser,鯨魚拋擲者,鲸鱼抛掷者,ホエールトッサー,Lanceur de baleine,Lanciatore di balene,Walwerfer,Lanzador de ballenas,고래 던지기,ปลาวาฬทอสเซอร์,Banting Tatang,Lançador de Baleia,Китовый тоссер,Người ném cá voi,Wielorybnik,Balina Atıcı
